transformation_type,numerical_count,theoretical_count,objects_generated,iteration,ratio,description,integration_params,,
CMND_complete,7300,6350.170253,1000000,2,0.857818128,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7477,6350.170253,1000000,3,0.853735531,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7469,6350.170253,1000000,4,0.862455045,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7192,6350.170253,1000000,5,0.860270165,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7390,6350.170253,1000000,6,0.860724921,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7303,6350.170253,1000000,7,0.861752806,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7465,6350.170253,1000000,8,0.862185718,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,7413,63501.702525767825,1000000,9,0.863992252,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73463,63501.702525767825,10000000,0,0.864403884,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73326,63501.702525767825,10000000,1,0.866018909,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,74027,63501.702525767825,10000000,2,0.857818128,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,74381,63501.702525767825,10000000,3,0.853735531,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73629,63501.702525767825,10000000,4,0.862455045,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73816,63501.702525767825,10000000,5,0.860270165,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73777,63501.702525767825,10000000,6,0.860724921,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73689,63501.702525767825,10000000,7,0.861752806,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73652,63501.702525767825,10000000,8,0.862185718,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
CMND_complete,73498,63501.702525767825,10000000,9,0.863992252,sphere_CMND_complete,"{'center_sphere': array([1., 0., 0.]), 'radio_sphere': 0.5, 'center_cube': array([0.        , 6.28402273, 0.        ]), 'delta_cube': 1.0547326203208556}",,
