transformation_type,numerical_count,theoretical_count,objects_generated,iteration,ratio,description,integration_params
CMND,161,169.80192692873646,1000000,0,1.0546703535946365,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,179,169.80192692873646,1000000,1,0.9486141169203154,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,155,169.80192692873646,1000000,2,1.0954963027660416,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,148,169.80192692873646,1000000,3,1.1473103170860572,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,193,169.80192692873646,1000000,4,0.8798027302007071,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,183,169.80192692873646,1000000,5,0.9278793821242428,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,155,169.80192692873646,1000000,6,1.0954963027660416,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,190,169.80192692873646,1000000,7,0.8936943522565077,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,202,169.80192692873646,1000000,8,0.8406035986571112,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,192,169.80192692873646,1000000,9,0.8843850360871691,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,207,169.80192692873646,1000000,10,0.8202991639069395,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,172,169.80192692873646,1000000,11,0.9872205053996306,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,158,169.80192692873646,1000000,12,1.074695740055294,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,154,169.80192692873646,1000000,13,1.1026099151216653,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,190,169.80192692873646,1000000,14,0.8936943522565077,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,186,169.80192692873646,1000000,15,0.912913585638368,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,187,169.80192692873646,1000000,16,0.9080316948060774,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,185,169.80192692873646,1000000,17,0.9178482536688456,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,174,169.80192692873646,1000000,18,0.9758731432686004,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,180,169.80192692873646,1000000,19,0.9433440384929804,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,1823,1698.0192692873645,10000000,0,0.9314422760764479,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
CMND,1835,1698.0192692873645,10000000,1,0.9253511004290815,hypercube,"{'center': (1, 0, 0, 0, 6.2840227308020005, 0), 'widths': (0.2, 0.2, 0.2, 1.0547326203208556, 1.0547326203208556, 1.0547326203208556)}"
