transformation_type,numerical_count,theoretical_count,objects_generated, iteration,iteration
uniform_complete,8,10.525428344142886,1000000,,6.0
uniform_complete,19,10.525428344142886,1000000,,7.0
uniform_complete,10,10.525428344142886,1000000,,8.0
uniform_complete,13,10.525428344142886,1000000,,9.0
uniform_complete,16,10.525428344142886,1000000,,10.0
uniform_complete,15,10.525428344142886,1000000,,11.0
uniform_complete,17,10.525428344142886,1000000,,12.0
uniform_complete,12,10.525428344142886,1000000,,13.0
uniform_complete,9,10.525428344142886,1000000,,14.0
uniform_complete,12,10.525428344142886,1000000,,15.0
uniform_complete,6,10.525428344142886,1000000,,16.0
uniform_complete,8,10.525428344142886,1000000,,17.0
uniform_complete,11,10.525428344142886,1000000,,18.0
uniform_complete,13,10.525428344142886,1000000,,19.0
uniform_complete,130,105.25428344142888,10000000,,0.0
uniform_complete,114,105.25428344142888,10000000,,1.0
uniform_complete,112,105.25428344142888,10000000,,2.0
uniform_complete,109,105.25428344142888,10000000,,3.0
uniform_complete,126,105.25428344142888,10000000,,4.0
uniform_complete,105,105.25428344142888,10000000,,5.0
uniform_complete,93,105.25428344142888,10000000,,6.0
uniform_complete,104,105.25428344142888,10000000,,7.0
uniform_complete,124,105.25428344142888,10000000,,8.0
uniform_complete,118,105.25428344142888,10000000,,9.0
uniform_complete,113,105.25428344142888,10000000,,10.0
uniform_complete,126,105.25428344142888,10000000,,11.0
uniform_complete,127,105.25428344142888,10000000,,12.0
uniform_complete,115,105.25428344142888,10000000,,13.0
uniform_complete,108,105.25428344142888,10000000,,14.0
uniform_complete,120,105.25428344142888,10000000,,15.0
uniform_complete,106,105.25428344142888,10000000,,16.0
uniform_complete,120,105.25428344142888,10000000,,17.0
uniform_complete,113,105.25428344142888,10000000,,18.0
uniform_complete,109,105.25428344142888,10000000,,19.0
uniform_complete,1175,1052.5428344142888,100000000,,0.0
uniform_complete,1155,1052.5428344142888,100000000,,1.0
uniform_complete,1132,1052.5428344142888,100000000,,2.0
uniform_complete,1146,1052.5428344142888,100000000,,3.0
uniform_complete,1037,1052.5428344142888,100000000,,4.0
uniform_complete,1156,1052.5428344142888,100000000,,5.0
uniform_complete,1124,1052.5428344142888,100000000,,6.0
uniform_complete,1192,1052.5428344142888,100000000,,7.0
uniform_complete,1079,1052.5428344142888,100000000,,8.0
uniform_complete,1184,1052.5428344142888,100000000,,9.0
uniform_complete,1154,1052.5428344142888,100000000,,10.0
uniform_complete,1089,1052.5428344142888,100000000,,11.0
uniform_complete,1147,1052.5428344142888,100000000,,12.0
uniform_complete,1126,1052.5428344142888,100000000,,13.0
uniform_complete,1081,1052.5428344142888,100000000,,14.0
uniform_complete,1054,1052.5428344142888,100000000,,15.0
uniform_complete,1102,1052.5428344142888,100000000,,16.0
uniform_complete,1195,1052.5428344142888,100000000,,17.0
uniform_complete,1121,1052.5428344142888,100000000,,18.0
uniform_complete,1118,1052.5428344142888,100000000,,19.0
