transformation_type,numerical_count,theoretical_count,objects_generated, iteration,Unnamed: 5,Unnamed: 6
uniform_aewM,12134,11775.82522,10000000,5.0,,
uniform_aewM,11947,11775.82522,10000000,6.0,,
uniform_aewM,11934,11775.82522,10000000,7.0,,
uniform_aewM,11694,11775.82522,10000000,8.0,,
uniform_aewM,11862,11775.82522,10000000,9.0,,
uniform_aewM,11840,11775.82522,10000000,10.0,,
uniform_aewM,12076,11775.82522,10000000,11.0,,
uniform_aewM,11923,11775.82522,10000000,12.0,,
uniform_aewM,11812,11775.82522,10000000,13.0,,
uniform_aewM,11942,11775.82522,10000000,14.0,,
uniform_aewM,11725,11775.82522,10000000,15.0,,
uniform_aewM,11867,11775.82522,10000000,16.0,,
uniform_aewM,11745,11775.82522,10000000,17.0,,
uniform_aewM,11905,11775.82522,10000000,18.0,,
uniform_aewM,11797,11775.82522,10000000,19.0,,
uniform_aewM,11734,11775.82522,10000000,20.0,,
uniform_aewM,119010,117758.25215646437,100000000,1.0,,
uniform_aewM,118454,117758.25215646437,100000000,2.0,,
uniform_aewM,118699,117758.25215646437,100000000,3.0,,
uniform_aewM,119190,117758.25215646437,100000000,4.0,,
uniform_aewM,118463,117758.25215646437,100000000,5.0,,
uniform_aewM,118715,117758.25215646437,100000000,6.0,,
uniform_aewM,118334,117758.25215646437,100000000,7.0,,
uniform_aewM,119023,117758.25215646437,100000000,8.0,,
uniform_aewM,119548,117758.25215646437,100000000,9.0,,
uniform_aewM,119573,117758.25215646437,100000000,10.0,,
uniform_aewM,118449,117758.25215646437,100000000,11.0,,
uniform_aewM,118705,117758.25215646437,100000000,12.0,,
uniform_aewM,118878,117758.25215646437,100000000,13.0,,
uniform_aewM,119341,117758.25215646437,100000000,14.0,,
uniform_aewM,118800,117758.25215646437,100000000,15.0,,
uniform_aewM,119535,117758.25215646437,100000000,16.0,,
uniform_aewM,118178,117758.25215646437,100000000,17.0,,
uniform_aewM,118323,117758.25215646437,100000000,18.0,,
uniform_aewM,118647,117758.25215646437,100000000,19.0,,
uniform_aewM,119147,117758.25215646437,100000000,20.0,,
