# P(X) XY plane integration cube position and spheric velocity
# method: min Rv value for all corners
#  x_min=-0.2, x_max=0.2, y_min=0.4, y_max=1.5, dx_cell=0.1, dy_cell=0.1, dz=0.1, vx_center=0.01, vy_center=0.01, vz_center=0.01
6.377160174351170481e-05, 3.756117944651205410e-05, 2.959956655312510551e-05, 3.768378648853264401e-05, 6.414017112759887304e-05
8.749301675229102576e-05, 5.115432363815422475e-05, 4.015770626333598371e-05, 5.122991156239164426e-05, 8.772822684452761611e-05
1.039797214035577963e-04, 6.133213358591534819e-05, 4.848310535076219514e-05, 6.128226451251325224e-05, 1.038876897753047892e-04
1.099162615257842060e-04, 6.647469328357869900e-05, 5.340246370462489723e-05, 6.628045035965581368e-05, 1.094519272980404301e-04
1.070485200135202634e-04, 6.737381480998938456e-05, 5.521516753824515092e-05, 6.706779523020128299e-05, 1.062982517590067399e-04
9.879804002713809652e-05, 6.532380701014210017e-05, 5.469423122257097191e-05, 6.494631086766839703e-05, 9.789483911445753263e-05
8.811502050478724581e-05, 6.134696222625980343e-05, 5.249177796416328718e-05, 6.093520648342740066e-05, 8.718051654905430549e-05
7.722892218678122946e-05, 5.637150130919141690e-05, 4.923690546041393677e-05, 5.596571052173884706e-05, 7.636693695188340929e-05
6.765732265518707982e-05, 5.126239809865197600e-05, 4.555838411129896066e-05, 5.089550179603723743e-05, 6.693366205621005701e-05
5.999692562885996377e-05, 4.655290062684265952e-05, 4.189321872625426509e-05, 4.623315282662643800e-05, 5.940800137786509809e-05
5.411690497445376130e-05, 4.238609110511089273e-05, 3.841769255582666012e-05, 4.209603846948382216e-05, 5.359768478663300617e-05
4.944922849981490850e-05, 3.858823607999203929e-05, 3.501161696208422540e-05, 3.829715575483111389e-05, 4.891333795440978182e-05
