1.054632368370454198e-14 2.805830713361667589e-15 5.871824401073034858e-16 1.313106421103195900e-16 4.689000889468123853e-17 1.224542425413418317e-17 6.804970513737487803e-19 7.822308728245382598e-23 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.327639177131686526e-14 7.191789107959471069e-15 1.800543354781576302e-15 4.125365583913856789e-16 1.256304324574740895e-16 4.426039263947829987e-17 6.417902906605659296e-18 4.402317678745511959e-20 2.703806194788459987e-33 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.646443511592317456e-14 1.611842592519812738e-14 4.580351226491508923e-15 1.195567237490190242e-15 3.514054727017427470e-16 1.341039967681412667e-16 3.563350066368186596e-17 1.689813594416247647e-18 5.610677222583216492e-23 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.656278677943356551e-14 3.367758371970343344e-14 1.037755510836640696e-14 2.961962298048654036e-15 9.368407250057935144e-16 3.743451584134634505e-16 1.417450667993169180e-16 2.028797330495812097e-17 9.185351613173914021e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.510037906538622166e-13 6.751678298579104134e-14 2.244911679874466001e-14 6.674795539593812687e-15 2.206289193676793462e-15 9.613013695636064967e-16 4.556183250839092628e-16 1.300009288946649343e-16 5.484128338003001878e-18 7.926774105866948259e-23 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.410033785788903844e-13 1.273419609343099340e-13 4.692707656401389894e-14 1.454913914358317559e-14 4.809590498827368550e-15 2.188738403512400455e-15 1.255326973195051717e-15 5.596421531149417918e-16 8.397821684106448473e-17 2.764253433318218492e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.736782558306351130e-13 2.124735094998356188e-13 8.807049802902708597e-14 2.938656150266664541e-14 1.005583264781697838e-14 4.586459706820544278e-15 2.987878417929400891e-15 1.855912019760460264e-15 6.069379050143197386e-16 2.468750138088610691e-17 2.340740174666841303e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.058737473965751995e-13 3.063246504800742510e-13 1.312236907882722760e-13 4.630193520363300190e-14 1.762489034262258530e-14 8.891964594129776961e-15 6.366158525343294477e-15 5.048033832434714471e-15 2.772924706180851848e-15 4.644328061112618719e-16 1.319508878094589521e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.036762852614160363e-13
8.847814220123576273e-13 1.120999770028851355e-12 1.494160229690013751e-13 5.075366623028106415e-14 2.139093072880870224e-14 1.394425551868041628e-14 1.227143364560605268e-14 1.180628228913496137e-14 9.403621589217947811e-15 3.680647183093675889e-15 1.566657470147322794e-16 3.895409164692130386e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.509441703318828443e-10
3.582737317001484484e-13 3.019124996839341084e-13 1.647170711528610056e-13 5.030708809334862098e-14 2.367831440782958370e-14 2.027316659285274611e-14 2.198687527593504442e-14 2.490192201878302526e-14 2.565393922942521607e-14 1.759107304998022004e-14 3.384234016702986056e-15 1.277380322160873513e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.017342407703548491e-12 1.775250031642792417e-08
1.755298872345679913e-13 2.787972388300591228e-13 2.036468779105918578e-13 1.051866652022385966e-13 5.714788177796083964e-14 4.617171630243810781e-14 4.839515864082047364e-14 5.374534748612441592e-14 6.126549919603249964e-14 5.969213445269670671e-14 2.861194683635967868e-14 1.450492206979727325e-15 4.585866579123724016e-21 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.760715183325795034e-09 4.888727307176500273e-08
1.185127448026159915e-13 2.759887909897897066e-13 4.420812987464347051e-13 4.299766203582057369e-13 2.774622362439523824e-13 1.672124663063583600e-13 1.458374291588118262e-13 1.424840200808844940e-13 1.485498560473769501e-13 1.622443309304060168e-13 1.333113616827887903e-13 3.136735746885735137e-14 3.050468676496987013e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.154804710309354502e-11 2.148527935274753900e-08 9.792451697911745480e-08
