8.463018895866006548e-09 4.771905672582862385e-08 1.999207237753806386e-07 6.660950994630463085e-07 2.336360285281555465e-06 6.425576379735487089e-06 1.095921932470646385e-05 2.008358141855507638e-05 3.437659378472473576e-05 nan nan nan
9.131710600979592652e-09 3.755641580294031519e-08 1.584066081153695711e-07 5.793396498195914576e-07 1.740707287866421935e-06 3.947503145497020064e-06 6.449854172107446190e-06 1.191004017902340062e-05 2.395205919755352320e-05 nan nan nan
9.799680026326431492e-09 3.353247863423602200e-08 1.102907428712843561e-07 3.805987111668162464e-07 1.117615305015027040e-06 2.464333117997272051e-06 4.416993698257453152e-06 8.227710696541929838e-06 1.521989324519052791e-05 nan nan nan
9.856350159659900221e-09 3.139450772580051219e-08 8.534262836965640053e-08 2.367239627776425959e-07 6.489577953359014544e-07 1.548979568852336762e-06 3.170935634744066651e-06 5.605612938717479559e-06 9.105167548066676842e-06 nan nan nan
9.965048942002152899e-09 3.130663888892697260e-08 8.169158979199959463e-08 2.045107938333354063e-07 5.172094377908242971e-07 1.202804127793197001e-06 2.264543276827828539e-06 3.509707059784717076e-06 5.090193974160661335e-06 nan nan nan
1.177909182939358706e-08 3.839262555235288613e-08 1.032648698940098112e-07 2.517998933759454627e-07 5.581968944136949857e-07 1.041016918239322625e-06 1.567753714385902988e-06 2.062378396084144598e-06 2.504484780567482606e-06 nan nan nan
1.558342312519551665e-08 5.153901315770435612e-08 1.345587576844668629e-07 2.948038570940135977e-07 5.401371638860833336e-07 8.094615666787010968e-07 1.008613118573629252e-06 1.074931915831387523e-06 nan nan nan nan
1.748748375035626755e-08 5.613414217317592298e-08 1.354685510855122040e-07 2.607947953041915256e-07 4.094364749391589637e-07 5.292738697949535829e-07 5.576016932275761177e-07 4.554609899822986737e-07 nan nan nan nan
1.412735644601231944e-08 4.367928697514930972e-08 9.840800850376105910e-08 1.729983694109408536e-07 2.454816579302325738e-07 2.805622502876311352e-07 nan nan nan nan nan nan
8.199596270599657787e-09 2.481368062884986656e-08 5.363506877238027286e-08 8.853543820422773573e-08 1.143934473093292103e-07 nan nan nan nan nan nan nan
3.573524654730983532e-09 1.063352663221986849e-08 2.209235143795910299e-08 nan nan nan nan nan nan nan nan nan
1.170244399133358778e-09 nan nan nan nan nan nan nan nan nan nan nan
