nan 2.075159094082610704e-07 6.542624616179118226e-07 1.672539576406621625e-06 3.622041632201480806e-06 6.719338327903011654e-06 1.095921932470646385e-05 1.913988089045869824e-05 3.318122669826768795e-05 nan nan nan
nan nan 3.142195735968241297e-07 8.874787442421808545e-07 2.089348693964679446e-06 3.968601882098028233e-06 6.449854172107446190e-06 1.073062709013039651e-05 2.078893523217469465e-05 nan nan nan
nan nan 2.432474223711993544e-07 5.311758519058841149e-07 1.201350285367460914e-06 2.486522306743379045e-06 4.416993698257453152e-06 7.328691624082067252e-06 1.361387369005209704e-05 nan nan nan
nan nan nan 4.466531639775483680e-07 8.758392369292647795e-07 1.694932668896173340e-06 3.170935634744066651e-06 5.577091157341753589e-06 9.995716576047576843e-06 1.811064637243154884e-05 nan nan
nan nan nan nan 6.788495849730565675e-07 1.252236227322110609e-06 2.264543276827828539e-06 4.099335973609304491e-06 7.430250305567974846e-06 1.345172436055016627e-05 nan nan
nan nan nan nan 4.331054664055153384e-07 8.777367762216077227e-07 1.567753714385902988e-06 2.789611529701116849e-06 5.090467086882289044e-06 9.330400798803277124e-06 nan nan
nan nan nan nan nan 5.207853708344510469e-07 1.008613118573629252e-06 1.799753508632907702e-06 3.256218356357840863e-06 6.020854366810955359e-06 nan nan
nan nan nan nan nan nan 5.576016932275761177e-07 1.066960963278617160e-06 1.961645514242289247e-06 3.670881628802553694e-06 6.731210353547939470e-06 nan
nan nan nan nan nan nan nan 5.474095324997081453e-07 1.068722122140468581e-06 2.069869195659081455e-06 3.976414256210130024e-06 nan
nan nan nan nan nan nan nan 2.322603365250168199e-07 5.058364564330465377e-07 1.037215660373166981e-06 2.119402891695362795e-06 nan
nan nan nan nan nan nan nan nan 2.040183548099183271e-07 4.511589568019855077e-07 9.862217408817524687e-07 nan
nan nan nan nan nan nan nan nan nan 1.707243942405199160e-07 3.960197909162959442e-07 nan
