# P(X) XY plane integration cube position and spheric velocity
# method: spheric velocities Rv respect to the center
#  x_min=-0.2, x_max=0.2, y_min=-1.5, y_max=-0.4, dx_cell=0.1, dy_cell=0.1, dz=0.1, vx_center=0.01, vy_center=0.01, vz_center=0.01
1.850330477216644042e-04, 1.759495024667235620e-04, 1.708410409628166073e-04, 1.754353983134382389e-04, 1.858204062415483011e-04
2.019803092620504447e-04, 1.999454068585336910e-04, 1.954988839156157816e-04, 2.001872944980208043e-04, 2.037513082172682578e-04
2.220034843186547834e-04, 2.356993728805494568e-04, 2.402822466852646101e-04, 2.365030528190064068e-04, 2.237337719237162661e-04
2.474549815582054082e-04, 2.741666102746205015e-04, 2.876031937205829141e-04, 2.751951850407083930e-04, 2.490239891420656360e-04
2.832486539554188382e-04, 2.897197837428828440e-04, 2.881681217775006773e-04, 2.896345734593437442e-04, 2.836584082881549672e-04
2.597928985102626750e-04, 2.593931695743372260e-04, 2.561388807653638467e-04, 2.590702371135268091e-04, 2.597790856333076492e-04
2.254977533936696474e-04, 2.339283792890585760e-04, 2.361923485370265828e-04, 2.337967581405430567e-04, 2.255065947032247001e-04
2.014033028791017727e-04, 2.126478217318767967e-04, 2.164520760924145218e-04, 2.126622457411364152e-04, 2.015549927022183623e-04
1.722141164937514009e-04, 1.800671616957802825e-04, 1.828748150084623272e-04, 1.801766807806110199e-04, 1.724544026470301646e-04
1.405197157672862353e-04, 1.427502759697944616e-04, 1.437125022899806814e-04, 1.428614469888175008e-04, 1.407376030246583292e-04
1.134562193120521538e-04, 1.105400854613417747e-04, 1.100818241294136706e-04, 1.106203261589912756e-04, 1.136296897247335774e-04
9.137367730986518358e-05, 8.297680335201758535e-05, 8.076681680071879613e-05, 8.303277243045339463e-05, 9.149784918589176565e-05
