# P(X) XY plane integration cube position and spheric velocity
# method: calculate Rv base on a
#  x_min=0.4, x_max=1.5, y_min=-0.5, y_max=0.5, dx_cell=0.05, dy_cell=0.05
2.052680634440269964e-05, 2.709547554537014550e-05, 3.391391077404666744e-05, 3.744557476960458299e-05, 4.165217914465873633e-05, 5.411995517021626532e-05, 5.085819236242442406e-05, 3.765747974167651501e-05, 3.464203403377180435e-05, 3.106020647568606729e-05, 2.344101877547710543e-05, 2.188998913575076059e-05, 2.159757090076551154e-05
2.120618455431883169e-05, 3.034760155906656665e-05, 3.840573875595033692e-05, 4.071924768198362059e-05, 3.931054666517603901e-05, 4.316352804802026045e-05, 4.867235816361672980e-05, 3.993926926078567014e-05, 3.016311890203951605e-05, 2.748838565904672220e-05, 2.329239059279121065e-05, 1.624515963097444555e-05, 1.434342584679265483e-05
2.034402819667890935e-05, 2.925367554506063875e-05, 3.632683859361885304e-05, 3.758426534745469327e-05, 3.428920181656714371e-05, 3.147504921956828045e-05, 3.300218154056965941e-05, 3.418262468407536780e-05, 2.874021192102610309e-05, 2.277812181591366364e-05, 2.053902015991090194e-05, 1.766754743702081992e-05, 1.140784857686164034e-05
1.659943010338237469e-05, 2.254628314606816337e-05, 2.714365322453612906e-05, 2.810313709611180180e-05, 2.605704598986502773e-05, 2.315357618093616718e-05, 2.142251206315679566e-05, 2.177529558365988470e-05, 2.222459063085210402e-05, 2.021835577142824293e-05, 1.727955964072358619e-05, 1.522882529259934659e-05, 1.318786222978358306e-05
1.145686806796782053e-05, 1.449490044360793665e-05, 1.706597954982747833e-05, 1.812782381974525136e-05, 1.770090588162760806e-05, 1.646153395446261889e-05, 1.520976931057182633e-05, 1.455035844363922758e-05, 1.464256294295332355e-05, 1.492092179319029729e-05, 1.442250727333182177e-05, 1.295133017255332656e-05, 1.101965178531341197e-05
7.885474823337500252e-06, 9.621516371353894075e-06, 1.111364941290486061e-05, 1.200698074146140246e-05, 1.221055549056716282e-05, 1.188205092820346324e-05, 1.131979695808195870e-05, 1.082112799108009971e-05, 1.053923773561798424e-05, 1.048205955910342138e-05, 1.052347901444518402e-05, 1.026820335567040265e-05, 9.265749857326427844e-06
8.464236111176294254e-06, 9.425969500993189274e-06, 1.008849662448800076e-05, 1.037859017504332116e-05, 1.031591716944757783e-05, 9.982725105454619583e-06, 9.506672803400008441e-06, 9.023505522607205311e-06, 8.614122799558640722e-06, 8.281341672335680205e-06, 7.997857759515708268e-06, 7.727077273762577970e-06, 7.291497820096832506e-06
1.369098028596580415e-05, 1.429521741685533685e-05, 1.402079274260935446e-05, 1.315184812552507657e-05, 1.204653063869151024e-05, 1.093404258811354959e-05, 9.935263423163010184e-06, 9.097575858899364579e-06, 8.407086888068247374e-06, 7.806591156913716923e-06, 7.233146135041145052e-06, 6.663716096822563207e-06, 6.091020118447664670e-06
2.308114191274300244e-05, 2.454721537017518236e-05, 2.300489778311304149e-05, 2.004839093965676101e-05, 1.700608315010608641e-05, 1.443968920952580177e-05, 1.247085531413295432e-05, 1.101483361508182809e-05, 9.896626135443892567e-06, 8.954739204895449686e-06, 8.082544490941563029e-06, 7.227246022785846143e-06, 6.369053489618943792e-06
3.460281050158497366e-05, 3.870691445461818715e-05, 3.600109636986194306e-05, 3.006860882274360388e-05, 2.426954516111490777e-05, 1.983912039597025327e-05, 1.680850764880535627e-05, 1.476396218222823795e-05, 1.324796785480999782e-05, 1.196780665664259605e-05, 1.075400032310472322e-05, 9.463186165864976475e-06, 8.052058945665331672e-06
4.254805660857295197e-05, 4.989434990791600350e-05, 4.751157681123051318e-05, 3.992292399131815205e-05, 3.255258498822190147e-05, 2.743440938825512975e-05, 2.420975928657692576e-05, 2.174591223629635179e-05, 1.934712855199600967e-05, 1.697455366491653679e-05, 1.468516313986616979e-05, 1.229568955241090847e-05, 9.764501606335884525e-06
