# P(X) XY plane integration cube position and spheric velocity
# method: min Rv value for all corners
#  x_min=-0.2, x_max=0.2, y_min=-1.5, y_max=-0.4, dx_cell=0.1, dy_cell=0.1, dz=0.1, vx_center=0.01, vy_center=0.01, vz_center=0.01
1.218430118379497612e-04, 1.197866860346569065e-04, 1.216753906308680553e-04, 1.205728119798456352e-04, 1.222108805880956167e-04
1.513077789273614606e-04, 1.633666299660170085e-04, 1.660259169572615419e-04, 1.633987700168436732e-04, 1.528603156149047591e-04
1.961009656549487406e-04, 2.243711762723317297e-04, 2.364214143583679350e-04, 2.254861250399789701e-04, 1.976237418635245385e-04
2.593206632558320420e-04, 3.071078199511474921e-04, 3.284130740865567151e-04, 3.083861460273265814e-04, 2.604156769258096833e-04
3.523803550529413229e-04, 3.686775235057663321e-04, 3.642126831882433794e-04, 3.684878742164166216e-04, 3.526358197152103290e-04
3.758545199674202591e-04, 3.616570337433571585e-04, 3.407522472185116054e-04, 3.606384535811239800e-04, 3.757045790878604883e-04
3.095081385354405031e-04, 3.080764512325944848e-04, 3.000528864836514388e-04, 3.080309238107466403e-04, 3.101723753923872032e-04
2.427494666875743034e-04, 2.513539158812433546e-04, 2.535666166050405093e-04, 2.517342071202743133e-04, 2.435410376389580359e-04
1.865861871314117716e-04, 1.934777323399563956e-04, 1.974941761496621750e-04, 1.938380620691339544e-04, 1.873091477310307557e-04
1.311544829236463287e-04, 1.342102085487170639e-04, 1.388446808991366621e-04, 1.345316007879942405e-04, 1.317830707743290872e-04
8.490059648899101656e-05, 8.206675230790024434e-05, 8.570969991719156237e-05, 8.230497118684996539e-05, 8.534911428161514875e-05
5.459236361348088619e-05, 4.690775959485611379e-05, 4.816706774213572780e-05, 4.704706142325983505e-05, 5.490127566909480542e-05
