,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx,earthy,earthz,sunx,suny,sunz
14,2023-02-14 22:55:25,-48.0,-53.3,32.3,15.6,-15.1,3.7,-0.9,184000000000.0,0.52,-123337419.30751722,83297372.04019283,28300.221207086364,-1346382.28154008,-45873.21247179386,31738.836724820736
17,2023-01-17 06:56:59,33.1,-173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000.0,0.1,-67169894.36805229,131627952.8572636,25182.22783253879,-1352091.3789103867,-7671.577238444415,31559.698069400136
18,2023-01-11 23:59:50,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000.0,0.15,-54502595.489198014,137189822.07352546,24349.148789190545,-1352977.4156537822,-579.8208566710792,31522.131786170332
19,2023-01-09 01:17:14,-45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000.0,0.28,-47242102.66972198,139773151.05996576,24070.280558321487,-1353448.0519273095,3375.399414089353,31500.645583893376
21,2022-12-29 06:52:09,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000.0,0.2,-19806778.24731676,145975253.8425575,24239.946346656696,-1355026.1144233518,17860.79969542025,31418.65118073742
22,2022-12-13 17:26:01,32.75,-2.1,20.0,18.7,-5.7,14.0,11.0,62000000000.0,0.2,20766887.156120766,145643050.756189,23202.87121926736,-1356902.7482638257,38859.476857736634,31289.3484622147
24,2022-11-20 13:53:54,15.0,-109.7,26.0,21.7,9.0,12.3,15.4,34000000000.0,0.12,77189793.57134916,125300016.41281286,23984.169274344717,-1358828.7171631998,70172.81848780379,31073.19387146017
29,2022-09-14 23:31:15,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000.0,0.11,147577133.33426693,-21254561.17962173,30580.15691388807,-1359008.4636225277,160517.85283221462,30340.3977598842
30,2022-09-04 03:54:55,20.0,165.9,14.0,21.9,18.4,-11.4,-3.5,24000000000.0,0.086,141573205.72957,-48166758.43428178,32088.6028569535,-1358289.0123665612,175231.2148073673,30208.299211527043
33,2022-07-28 01:36:08,-6.0,-86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000.0,0.68,85107211.48731399,-124692363.06852782,35141.24072549799,-1354022.4314299203,227078.47862149714,29709.37623123371
34,2022-07-27 04:41:30,-44.8,-2.9,38.1,19.8,-6.1,17.7,6.5,524000000000.0,1.3,83289912.66919631,-125945823.68437013,35236.33836648696,-1353892.586929153,228264.02392171297,29697.332697629136
35,2022-07-25 07:28:17,-40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27,79298240.68378049,-128563090.02514008,35478.00439587346,-1353606.772829262,230827.69906658487,29671.1910775236
36,2022-07-22 00:16:19,-23.3,-20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000.0,0.19,72115275.12654844,-132832698.57071838,35966.73906409856,-1353089.6069131787,235317.28211920947,29625.088786778106
37,2022-07-20 10:56:53,-43.0,-59.6,32.2,16.0,-0.9,15.6,-3.6,86000000000.0,0.27,68651119.84384449,-134703199.27674833,36192.921760361336,-1352838.532124609,237432.84141577166,29603.222658956252
38,2022-07-08 01:36:37,21.3,130.1,22.0,20.2,17.9,-4.1,-8.3,27000000000.0,0.095,39567285.769934855,-146233392.39984825,36411.61399407896,-1350666.817300527,254279.983409587,29425.684269730835
41,2022-06-26 20:16:26,-69.7,164.7,19.0,20.1,0.2,-18.3,8.2,65000000000.0,0.21,11652466.734698374,-151250194.77625483,36658.80972114975,-1348427.569602425,269521.6549039992,29258.732917654543
43,2022-06-07 22:53:17,40.8,-127.1,41.1,24.9,23.1,2.0,-9.2,31000000000.0,0.11,-35842395.35910496,-147565613.70838258,36184.30620616414,-1344069.4982437524,295086.3862266791,28961.81723947356
45,2022-04-21 22:15:28,-55.5,-68.9,28.4,12.7,-4.2,11.6,3.2,39000000000.0,0.13,-129547739.23014781,-78154789.596662,33072.16770987397,-1330235.400658752,357886.22837597,28141.01599392894
46,2022-04-12 21:59:12,-8.2,57.8,23.8,20.6,-19.3,-6.3,3.6,52000000000.0,0.17,-139709934.51744562,-57430601.39473135,31194.93952899588,-1327144.8713901283,369759.11657498387,27973.119257614755
47,2022-04-04 00:30:39,-3.2,-64.3,31.5,19.7,-17.6,5.3,-7.2,27000000000.0,0.095,-146523299.43082267,-35618539.00696599,30443.58521898641,-1323963.7700679626,381428.6015324103,27804.540389672442
49,2022-03-28 10:20:24,-7.7,74.3,29.0,19.6,-16.6,-10.4,0.1,378000000000.0,0.98,-149384648.17468318,-18878730.554535277,29853.73205938782,-1321524.301520277,390041.25809726235,27677.62791173292
50,2022-03-24 03:43:42,1.9,-20.6,56.7,18.2,-12.4,11.4,6.9,76000000000.0,0.24,-150215927.36528805,-7875084.48060878,28994.26495951367,-1319905.270271182,395612.8479281294,27594.3803551402
51,2022-03-11 21:22:46,70.0,-9.1,33.3,17.2,-11.5,-5.3,-11.7,1851000000000.0,4.0,-148096155.0437553,23717871.604892958,26700.028335261006,-1315108.0922732488,411527.16784809524,27351.876664037056
55,2022-02-17 03:53:24,5.4,56.4,32.4,21.5,-4.4,-19.6,-7.7,65000000000.0,0.21,-126860915.92996432,78435711.32267812,23290.11530820089,-1305648.5807491848,440773.7893883506,26890.172993996395
56,2022-02-07 20:06:26,-28.7,11.4,26.5,13.1,-8.9,-7.3,-6.3,3480000000000.0,7.0,-112195483.50731616,97792850.28959018,22599.471805354526,-1301560.815705138,452691.9741588711,26696.94630219174
57,2022-02-03 19:50:40,-13.3,142.2,36.0,22.8,17.6,9.7,-10.8,152000000000.0,0.44,-104946914.24628697,105351539.68877815,22356.01559521119,-1299765.5868578325,457806.4767664654,26613.248049818645
58,2022-01-30 02:06:18,50.0,-38.0,36.6,20.0,-10.8,16.8,1.0,54000000000.0,0.18,-95716887.49302197,113606621.97763254,21686.572860661185,-1297615.7038208165,463840.9592759493,26513.947112632697
60,2022-01-11 03:33:13,-58.4,-160.2,40.8,22.8,-2.5,5.3,22.0,1264000000000.0,2.9,-52993151.12718618,138225033.0272182,19814.511047445223,-1288700.8266088362,487881.43539427913,26112.948303649093
62,2021-12-29 03:15:35,-69.7,115.0,44.0,22.0,7.4,-8.6,18.8,20000000000.0,0.073,-20003179.99013841,146425676.54159033,18643.25681270757,-1282248.3464035639,504334.0022202081,25831.992099974745
64,2021-12-20 23:15:55,62.7,60.3,56.0,18.2,10.3,-7.1,-13.2,32000000000.0,0.11,1308895.81752486,147663233.46252993,18192.761944688107,-1278052.6792876327,514627.66389909317,25652.503006463954
66,2021-11-28 18:06:50,32.6,113.5,38.4,19.7,0.2,-2.2,-19.6,40000000000.0,0.13,57756332.81493911,135809700.89202437,17996.937962529515,-1266046.6960723067,542479.453102706,25150.78379874164
67,2021-11-17 15:53:21,-6.8,119.1,35.0,23.0,7.0,-18.3,-12.0,24000000000.0,0.086,83105383.41194558,122031074.6247726,18908.450274318668,-1259716.6052636923,556289.9230690217,24892.5984985306
70,2021-10-21 10:32:02,51.5,51.4,30.0,15.9,-14.1,-7.0,-1.9,37000000000.0,0.13,130299957.46254401,70388478.55150934,20570.595263237494,-1243214.581809218,589834.6910524259,24238.01629229658
