#clean data from CNOS fireballs catalog without nan values
#this data was download 2023-10-05
#addign earth and sun SSB positions, latitud and longitud float values, ecliptic and velocity positions. 

Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),earthx (km),earthy (km),earthz (km),sunx (km),suny (km),sunz (km),earthvx (km/s),earthvy (km/s),earthvz (km/s),sunvx (km/s),sunvy (km/s),sunvz (km/s),x_ecliptic (km),y_ecliptic (km),z_ecliptic (km),vx_ecliptic (km/s),vy_ecliptic (km/s),vz_ecliptic (km/s)
2022-07-22 00:16:19,-23.3,-20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000.0,0.19,72115275.12654844,-132832698.57071838,35966.73906409856,-1353089.6069131787,235317.28211920947,29625.088786778106,25.59956541662762,14.261665478051226,-0.0017360241665933826,-0.001851016679324436,-0.015745294025437215,0.00016240240785124265,1315.2078003606002,-6271.004132087678,-31.239066522237408,8.59297984661716,11.866444718933925,-8.76199046637275
2022-07-20 10:56:53,-43.0,-59.6,32.2,16.0,-0.9,15.6,-3.6,86000000000.0,0.27,68651119.84384449,-134703199.27674833,36192.921760361336,-1352838.532124609,237432.84141577166,29603.222658956252,25.960297538596755,13.578839599616904,-0.0016092875462891338,-0.0018861846782169884,-0.015744203022060598,0.0001630690312764257,3454.321215167207,1175.38566425417,-5258.4880306589785,-14.844666362986304,-5.449148332440038,-1.5258560643703076
2022-07-08 01:36:37,21.3,130.1,22.0,20.2,17.9,-4.1,-8.3,27000000000.0,0.095,39567285.769934855,-146233392.39984825,36411.61399407896,-1350666.817300527,254279.983409587,29425.684269730835,28.197846813116936,7.895418735303191,0.0006888759654088265,-0.002174207644312709,-0.015731804794656256,0.00016888466037931265,1052.562583077396,6306.368790679899,-218.45740077808978,8.71315292283697,-18.406125165262033,-1.087373464276264
2022-06-26 20:16:26,-69.7,164.7,19.0,20.1,0.2,-18.3,8.2,65000000000.0,0.21,11652466.734698374,-151250194.77625483,36658.80972114975,-1348427.569602425,269521.6549039992,29258.732917654543,29.20406527610536,2.414169234845087,-0.0011101252212332275,-0.0024450274357077076,-0.015703359134289663,0.00017569003995301366,2030.100420885598,-1568.95187200614,-5839.551845125442,-11.51095500595218,16.127760384337684,1.9727933699896427
2022-06-07 22:53:17,40.8,-127.1,41.1,24.9,23.1,2.0,-9.2,31000000000.0,0.11,-35842395.35910496,-147565613.70838258,36184.30620616414,-1344069.4982437524,295086.3862266791,28961.81723947356,28.523590053784854,-6.886066850151075,0.0009839130325232654,-0.002891807747175465,-0.015615525822044818,0.00018811493252127815,-1827.4847912165724,5795.804586290391,2039.3553472900107,-9.77579275651808,-22.68467026354426,-0.16934728462430293
2022-04-21 22:15:28,-55.5,-68.9,28.4,12.7,-4.2,11.6,3.2,39000000000.0,0.13,-129547739.23014781,-78154789.596662,33072.16770987397,-1330235.400658752,357886.22837597,28141.01599392894,15.05590236979208,-25.535213258760983,0.002216588213884588,-0.003883974687292698,-0.01528210282562971,0.00021388160171441855,-1523.6549950779624,945.1121590478933,-6135.434851989798,5.141875427235476,-9.020728287709147,7.386561450084171
2022-04-12 21:59:12,-8.2,57.8,23.8,20.6,-19.3,-6.3,3.6,52000000000.0,0.17,-139709934.51744562,-57430601.39473135,31194.93952899588,-1327144.8713901283,369759.11657498387,27973.119257614755,10.996823685019779,-27.60551983655403,0.0018207697377527732,-0.0040549525913660235,-0.015217143119474467,0.00021743465557339322,-4215.661939941755,-4699.617451889119,1058.8002928310439,19.737516590098114,4.481439532974268,1.9342762121751478
2022-04-04 00:30:39,-3.2,-64.3,31.5,19.7,-17.6,5.3,-7.2,27000000000.0,0.095,-146523299.43082267,-35618539.00696599,30443.58521898641,-1323963.7700679626,381428.6015324103,27804.540389672442,6.687909754207917,-29.051310508314362,0.0005588560623274072,-0.0042231865104741945,-0.015151083870734175,0.00022135807273266739,-4551.043357288967,3991.340814029357,-2107.0826006161706,18.66946323877576,-1.7354173765873604,-7.139204195666949
2022-03-28 10:20:24,-7.7,74.3,29.0,19.6,-16.6,-10.4,0.1,378000000000.0,0.98,-149384648.17468318,-18878730.554535277,29853.73205938782,-1321524.301520277,390041.25809726235,27677.62791173292,3.3477083027342247,-29.678183156442035,0.0017940713866122404,-0.004344474287791314,-0.01509959184276586,0.00022439769795390624,3652.9628922399916,4421.633773874802,-2855.0897048733186,-18.737143584172404,-4.116727733672821,1.9379350317105457
2022-03-24 03:43:42,1.9,-20.6,56.7,18.2,-12.4,11.4,6.9,76000000000.0,0.24,-150215927.36528805,-7875084.48060878,28994.26495951367,-1319905.270271182,395612.8479281294,27594.3803551402,1.1516375656379152,-29.869562946916247,0.002748859509383389,-0.004420916485731395,-0.015065880384903859,0.0002263045201706419,-5164.683189893354,-3426.924793283314,1728.8886758522187,16.038038076598752,6.964832729417915,4.463234856965833
